Username Gamemode Score
1330_Destroyer 1 1000
Anson_Lo 2 533
Ryan_Gosling 2 525
ChatGPT 2 523
Ryan 2 503
U3033445067 2 482
Wise_Tree 2 451
Leon_S_Kennedy 2 429
Mr_Beast 2 407
Rick 1 392
Joe_Biden 4 387
Elon_Musk 4 377
Bread 2 374
Dirk 4 354
Homelander 1 345
Ryan_Pang 2 336
Engineer 4 336
R 1 312
Nick_Fury 4 309
Cristiano_Ronaldo 2 305
689 1 304
Pikachu 1 297
Kang_The_Conqueror 4 296
Darius 1 292
Walter_White 3 279
Whatsapp 1 273
Engineer 4 271
W_W 4 263
Jojo 4 262
Dirk 2 261
Freddy_Fazbear 4 259
Player 1 250
Anson_Lo 3 250
E=Mc^2 4 243
E 1 242
Xiang_Zhang 1 223
S 4 217
Rick_Astley 1 210
Bocchi 4 208
Jacky_Chan 2 207
Wise_Tree 4 204
Engineer 3 204
Niconiconi 1 200
Freddy_Fazbear 4 200
Ryan 4 197
300IQ_Nerd 4 188
Corona_Virus 3 177
Ai_Hoshino 3 173
IHATEPYTHON 4 168
Barbie 3 159
Jacky_Chan 4 147
Jojo 4 136
Loki 4 132
Napoleon 4 91
W 4 72
Ryan 1 69
I_am_the_last 1 0
